31.1515 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
204.9054 	DATA 	Keypress: up
204.9193 	EXP 	fixation: autoDraw = False
204.9193 	EXP 	grating: autoDraw = False
204.9193 	EXP 	grating: ori = -5.0
204.9193 	EXP 	fixation: autoDraw = True
205.9192 	EXP 	fixation: autoDraw = False
205.9192 	EXP 	grating: autoDraw = True
206.2185 	EXP 	grating: autoDraw = False
206.4218 	EXP 	New trial (rep=56, index=0): None
206.4232 	DATA 	Keypress: down
206.4357 	EXP 	fixation: autoDraw = False
206.4357 	EXP 	grating: autoDraw = False
206.4357 	EXP 	grating: ori = 4.0
206.4357 	EXP 	fixation: autoDraw = True
207.4347 	EXP 	fixation: autoDraw = False
207.4347 	EXP 	grating: autoDraw = True
207.7350 	EXP 	grating: autoDraw = False
207.9373 	EXP 	New trial (rep=57, index=0): None
207.9382 	DATA 	Keypress: down
207.9522 	EXP 	fixation: autoDraw = False
207.9522 	EXP 	grating: autoDraw = False
207.9522 	EXP 	grating: ori = 0.0
207.9522 	EXP 	fixation: autoDraw = True
208.9520 	EXP 	fixation: autoDraw = False
208.9520 	EXP 	grating: autoDraw = True
209.2511 	EXP 	grating: autoDraw = False
209.3200 	EXP 	New trial (rep=58, index=0): None
209.3210 	DATA 	Keypress: down
209.3346 	EXP 	fixation: autoDraw = False
209.3346 	EXP 	grating: autoDraw = False
209.3346 	EXP 	grating: ori = -5.0
209.3346 	EXP 	fixation: autoDraw = True
210.3344 	EXP 	fixation: autoDraw = False
210.3344 	EXP 	grating: autoDraw = True
210.6338 	EXP 	grating: autoDraw = False
211.1368 	EXP 	New trial (rep=59, index=0): None
211.1379 	DATA 	Keypress: down
211.1508 	EXP 	fixation: autoDraw = False
211.1508 	EXP 	grating: autoDraw = False
211.1508 	EXP 	grating: ori = 0.0
211.1508 	EXP 	fixation: autoDraw = True
212.1508 	EXP 	fixation: autoDraw = False
212.1508 	EXP 	grating: autoDraw = True
212.4505 	EXP 	grating: autoDraw = False
212.8522 	EXP 	New trial (rep=60, index=0): None
212.8530 	DATA 	Keypress: up
